url,tag
https://mathoverflow.net,mathoverflow
https://stackoverflow.com,stackoverflow
https://serverfault.com,serverfault
https://superuser.com,superuser
https://math.stackexchange.com,math
https://stats.stackexchange.com,stats
https://unix.stackexchange.com,unixlinux
https://askubuntu.com,ubuntu
https://cstheory.stackexchange.com,cstheory
https://softwareengineering.stackexchange.com,softwareengineering
https://electronics.stackexchange.com,electronics
https://security.stackexchange.com,security
https://scifi.stackexchange.com,scififantasy
https://codereview.stackexchange.com,codereview
https://music.stackexchange.com,music
https://philosophy.stackexchange.com,philosophy
https://dsp.stackexchange.com,signalprocessing
https://biology.stackexchange.com,biology
https://psychology.stackexchange.com,psychology
https://scicomp.stackexchange.com,computationalscience
https://cs.stackexchange.com,computerscience
https://chemistry.stackexchange.com,chemistry
https://robotics.stackexchange.com,robotics
https://networkengineering.stackexchange.com,networkengineering
https://aviation.stackexchange.com,aviation
https://datascience.stackexchange.com,datascience
https://ai.stackexchange.com,artificialintelligence
https://iot.stackexchange.com,iot
https://devops.stackexchange.com,devops
